GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
CDR2L	-0.991	-1.143	-0.106	0.274	0.404	0.255	1.848	1.073	-1.865	-1.957	0.632	0.35	-0.733	-0.372	1.521	1.327	-0.619	-0.303	0.711	0.989	0.027	0.084	0.027	0.396	1.061	0.974	0.635	0.708	-0.786	-1.387	-1.512	-1.523
CFB	0.574	1.376	-0.459	-0.139	0.814	-0.205	-0.007	-0.266	0.701	2.038	-0.92	-0.754	0.746	0.135	-2.427	-0.935	1.248	1.53	-1.642	-2.022	0.704	0.856	-0.484	-0.796	-0.44	-0.566	-0.415	-0.079	-0.345	0.364	0.895	0.92
CFHR1	1.639	0.646	0.574	0.016	1.159	0.276	-0.484	-2.169	1.374	0.996	0.645	0.205	0.569	0.471	-0.057	-1.076	0.883	1.413	0.523	0.913	0.221	0.136	0.356	0.239	-0.969	-0.99	-1.629	-1.903	-0.824	-0.454	-0.961	-1.739
CFHR5	1.309	1.288	-0.932	-0.932	1.741	1.003	0.771	0.262	1.423	0.711	-0.932	-0.932	1.574	1.247	-0.932	-0.932	-0.932	0.051	0.397	-0.932	1.149	1.196	-0.932	-0.932	-0.932	-0.932	-0.932	-0.932	0.05	0.74	-0.932	-0.932
CFLAR	1.101	1.172	0.348	0.371	0.682	0.748	-0.408	-0.142	1.222	1.219	0.128	0.375	0.601	0.753	0.298	0.329	1.626	1.416	0.128	0.046	-0.196	-0.025	-1.541	-1.117	-1.633	-2.028	-1.978	-2.016	-0.358	-0.206	-0.529	-0.389
CHMP5	0.482	-0.007	-0.882	-1.177	0.188	-0.255	-0.899	-1.003	1.393	1.08	-0.482	-1.093	1.137	1.021	-1.734	-1.895	1.247	1.311	-0.662	-0.516	1.769	1.941	0.043	0.023	0.482	0.497	0.053	0.219	0.125	-0.073	-0.984	-1.349
CHSY1	1.443	1.499	0.402	0.451	0.124	0.439	-0.781	-0.379	1.331	1.407	0.516	0.414	1.143	1.161	-0.088	-0.269	0.449	0.454	-0.272	-0.367	0.594	0.659	-0.488	-0.596	-0.104	-0.068	-0.481	-0.416	-1.856	-1.755	-2.454	-2.111
CLEC18A	1.825	1.373	-0.15	-0.059	-0.638	0.404	-2.814	-0.29	0.834	0.601	-1.075	-1.635	0.654	0.597	0.612	1.71	-0.27	-1.199	0.164	-0.654	1.216	-1.972	-0.043	0.311	-0.192	0.221	0.319	1.031	-0.558	-0.301	0.246	-0.268
CLEC1A	0.912	0.806	-0.377	-0.435	1.101	1.004	-0.153	-0.507	1.587	1.652	0.71	0.838	0.811	0.806	-0.748	-0.622	1.175	1.178	0.157	0.015	-0.16	-0.171	-1.167	-0.88	0.066	-0.132	-0.113	-0.446	-1.629	-0.658	-2.31	-2.31
CLEC2B	0.427	0.574	-0.272	-0.432	1.083	0.942	0.366	-0.048	0.45	0.704	0.068	0.064	0.908	1.056	-0.712	-0.334	1.55	1.592	0.54	0.389	1.241	1.129	-0.713	-0.725	-0.643	-1.051	-0.833	-0.974	-0.068	-2.285	-1.71	-2.285
CLIC1	0.548	0.478	-0.156	-0.278	0.236	0.189	-0.254	-0.416	0.736	0.677	0.346	0.329	0.654	0.586	-0.697	-0.71	1.305	1.321	-0.053	-0.048	0.956	0.996	0.228	0.218	0.6	0.564	0.398	0.412	-1.883	-1.938	-2.586	-2.757
CMPK2	1.07	1.08	-0.975	-0.803	0.849	0.875	-0.713	-0.664	1.355	1.375	-0.646	-0.761	1.241	1.267	-0.668	-0.639	1.359	1.346	-0.731	-0.651	1.138	1.144	-1.37	-1.23	-1.233	-1.078	-1.289	-1.159	0.5	0.509	-0.235	-0.265
CMTR1	1.21	1.158	-0.688	-0.48	0.393	0.284	-1.192	-1.06	1.593	1.605	-0.573	-0.855	1.102	1.037	-0.917	-1.082	1.547	1.611	-1.099	-0.954	1.448	1.527	-0.674	-0.373	-0.381	-0.406	-0.463	-0.381	-0.509	-0.436	-1.062	-0.928
CNDP2	2.224	2.355	-0.322	-0.358	0.175	0.093	-0.451	-0.61	0.436	0.798	-1.302	-1.868	0.859	0.82	-0.105	0.109	1.952	1.856	-0.63	-1.063	-0.1	0.137	-1.203	-1.338	-0.347	0.051	-0.218	-0.352	-0.16	-0.163	-0.706	-0.569
CNP	0.861	0.903	-0.935	-1.002	0.579	0.653	-1.022	-0.91	1.571	1.653	-0.754	-0.61	1.053	1.014	-1.491	-1.3	1.552	1.543	-0.616	-0.61	1.416	1.436	-0.592	-0.63	0.063	0.107	-0.522	-0.648	-0.304	-0.203	-1.122	-1.134
COL11A2	-1.18	-0.116	0.122	0.027	-0.26	-1.14	0.511	0.701	-0.929	-0.657	0.697	0.705	-1.317	-0.155	-0.756	-1.091	-0.608	-0.088	0.213	-1.052	-0.306	-1.052	-0.167	0.497	-0.3	-0.278	0.146	0.369	1.066	0.392	2.994	3.012
CPT1A	1.134	1.108	0.36	0.324	0.437	0.497	-0.779	-0.661	0.85	0.759	0.473	0.541	0.735	0.766	0.068	0.049	1.146	1.117	0.486	0.449	0.386	0.418	-0.24	-0.221	-0.244	-0.218	-0.45	-0.397	-1.687	-1.8	-2.385	-3.024
CREBRF	1.419	0.512	-0.596	-0.424	-0.127	-0.092	-0.861	0.071	1.735	1.728	-0.184	-0.047	1.591	1.364	-0.437	0.113	1.243	1.473	0.001	-0.481	0.889	0.917	-0.322	-0.609	-1.343	-1.513	-0.366	-0.861	-1.912	-1.366	-0.532	-0.983
CSAG1	0.826	0.95	-0.974	-0.974	0.664	0.529	-0.974	-0.974	1.347	0.902	0.595	0.7	0.98	1.529	-0.974	-0.974	1.352	1.258	-0.974	-0.974	1.287	1.895	-0.974	-0.974	-0.108	-0.974	-0.167	-0.974	0.063	-0.974	-0.974	-0.974
CSF1	0.827	0.859	-0.131	-0.061	0.355	0.414	-0.24	-0.37	0.701	0.773	-0.037	0.086	0.893	0.886	0.08	0.02	0.722	0.794	-0.031	-0.199	0.824	0.788	0.173	0.172	0.234	0.241	0.092	0.043	-1.258	-1.382	-2.247	-4.02
CTSC	1.232	1.409	0.282	-0.157	0.502	0.62	-0.298	-0.312	0.02	0.235	-0.234	-0.529	0.502	0.277	-0.581	-0.589	1.139	1.221	0.625	0.654	0.699	0.821	0.163	0.228	0.342	0.353	0.243	0.274	-2.154	-2.319	-2.229	-2.441
CTSO	0.801	0.77	0.392	0.218	0.461	0.429	0.019	0.015	0.981	0.888	0.464	0.29	0.741	0.904	0.06	-0.065	1.398	1.301	0.417	0.5	0.526	0.553	-0.418	-0.247	-1.043	-0.856	-0.904	-0.85	-1.035	-0.967	-2.859	-2.883
CTSS	1.183	1.324	-0.158	-0.564	1.073	0.739	-0.605	-0.197	1.145	1.205	-0.262	-0.328	1.336	1.392	-0.604	-0.578	1.698	1.787	0.019	-0.247	0.22	0.123	-1.955	-1.212	-1.464	-1.133	-1.099	-1.288	-0.141	0.084	-0.514	-0.979
CUL4B	0.872	0.564	-0.601	-0.783	0.17	0.088	-0.642	-1.287	1.424	1.393	-0.906	-1.352	1.027	1.287	-0.008	0.146	2.034	1.887	-1.05	-1.3	1.523	1.321	-0.683	-0.598	-0.231	-0.265	-0.481	-0.3	-0.752	-0.913	-0.886	-0.697
CXCL10	0.876	0.908	-0.993	-0.993	1.124	1.171	-0.562	-0.993	1.226	1.209	-0.671	-0.6	0.88	0.931	-0.993	-0.993	1.548	1.575	-0.993	-0.993	1.102	1.044	-0.993	-0.687	-0.993	-0.394	-0.993	-0.993	0.922	1.023	-0.993	-0.71
CXCL11	0.947	0.819	-1.164	-1.164	1.195	1.127	-0.693	-0.641	1.351	1.335	-0.813	-0.735	0.884	0.819	-0.933	-0.69	1.661	1.657	-0.494	-0.866	1.147	1.144	-1.164	-0.961	-0.624	-0.809	-0.829	-0.661	0.581	0.652	-0.915	-1.164
CXCL16	1.062	1.08	0.072	0.039	0.58	0.216	-0.679	-0.277	1.321	1.368	0.649	0.566	1.154	1.19	-0.969	-0.762	1.592	1.617	0.228	0.083	0.61	0.772	-1.082	-0.929	-1.383	-1.362	-1.4	-1.537	-0.567	-1.167	-1.026	-1.055
CXCL9	1.011	0.93	-0.639	-0.968	1.185	1.367	-0.175	-0.968	1.618	1.602	-0.968	-0.387	0.872	1.043	-0.968	-0.968	1.393	1.332	-0.968	-0.342	1.014	0.885	-0.968	-0.968	-0.968	-0.968	-0.968	-0.968	0.64	0.205	-0.968	-0.968
CXorf38	1.255	0.904	-0.356	-0.848	0.398	0.692	-0.996	-0.373	1.017	1.248	-1.032	-0.472	0.858	1.03	-0.707	-0.636	2.063	1.871	-1.106	-1.294	1.521	1.49	-0.554	-0.479	-0.437	-0.479	-0.578	-0.789	-0.532	-0.3	-1.421	-0.957
CXorf58	0.999	-1.325	1.905	1.04	0.369	0.02	2.338	1.285	-1.325	-1.325	0.826	0.417	-1.325	-0.227	0.191	-1.325	-1.325	0.422	-0.1	0.55	0.194	0.176	0.044	0.03	-1.325	0.113	0.034	1.197	0.42	-1.325	-0.315	-1.325
CYLD	0.691	1.118	-0.715	-0.743	0.463	0.318	0.245	-0.01	1.589	1.57	-0.591	-0.658	1.12	0.844	-0.787	-0.771	1.697	1.74	-0.646	-0.681	0.282	0.55	-1.193	-0.98	-1.432	-1.784	-1.384	-1.395	0.21	-0.164	0.888	0.608
CYP26B1	1.863	1.727	0.345	0.294	0.418	0.267	-0.498	-0.67	-0.937	-1.225	-1.391	-0.91	1.631	1.602	0.855	0.515	0.495	0.182	0.488	0.123	0.325	0.489	1.073	1.103	-0.894	-0.706	-1.313	-0.52	-1.94	-0.746	-1.227	-0.818
DCLRE1C	0.676	0.689	-1.077	-1.182	-1.086	-0.554	-1.741	-1.701	1.187	1.449	0.421	-0.545	1.239	1.304	-0.336	-0.277	1.159	1.476	-1.806	-0.763	1.578	1.495	-0.056	-0.373	0.277	0.07	-0.01	0.16	0.006	-0.117	-0.545	-1.019
DCP1A	0.909	0.784	-1.03	-0.829	0.254	0.402	-1.261	-1.859	1.78	1.693	-1.136	-0.746	1.239	1.689	0.118	0.189	0.659	0.943	-1.329	-1.564	1.375	1.28	-0.371	-0.469	-0.193	-0.617	-0.477	0.352	-0.095	-0.443	-0.477	-0.769
DDX58	1.175	1.123	-0.9	-0.942	0.852	0.866	-0.984	-0.968	1.266	1.239	-0.871	-0.909	1.218	1.237	-1.02	-0.868	1.429	1.439	-0.83	-0.788	1.347	1.349	-0.758	-0.771	-0.134	-0.077	-1.0	-1.03	0.242	0.212	-0.927	-1.214
DDX60	1.061	1.03	-0.282	-0.329	0.798	0.717	-0.608	-0.779	1.33	1.294	-0.112	-0.178	1.16	1.166	-0.559	-0.472	1.173	1.171	-0.564	-0.35	1.011	1.012	-0.783	-0.534	-0.113	-0.148	-0.686	-0.671	-0.271	-0.328	-2.26	-2.897
DDX60L	1.141	1.123	-0.567	-0.604	0.876	0.871	-0.684	-0.696	1.253	1.233	-0.297	-0.352	1.035	1.022	-0.596	-0.732	1.484	1.472	-0.3	-0.211	1.084	1.094	-0.895	-0.774	-0.468	-0.429	-0.843	-0.795	0.009	-0.019	-1.989	-2.447
DEF6	-1.956	-0.781	0.556	-0.219	-1.017	-1.459	0.204	0.061	-0.724	-1.692	0.913	-0.958	1.862	1.059	-0.52	-0.19	-0.392	-0.016	-1.137	-1.638	0.656	1.463	0.75	0.206	0.26	-0.832	0.405	0.544	0.99	1.497	1.054	1.053
DENND5A	1.276	1.021	-0.447	-0.284	0.299	0.154	-0.819	-0.805	0.882	0.775	-0.409	-0.365	0.932	0.888	-0.576	-0.459	2.084	1.954	-0.692	-0.771	1.019	1.131	0.42	0.267	-0.18	-0.067	-0.272	-0.168	-1.746	-2.1	-1.372	-1.569
DHX58	1.05	1.079	-0.661	-0.468	0.686	0.664	-0.678	-0.843	1.31	1.222	-0.437	-0.485	1.063	1.018	-1.455	-1.688	1.394	1.463	-0.152	-0.152	1.274	1.281	-1.429	-1.297	-0.208	-0.327	-1.491	-1.125	0.435	0.409	-0.547	-0.905
DIP2B	2.817	2.588	-0.225	-0.527	-0.053	0.124	-0.773	-0.756	0.422	0.28	-0.872	-1.187	0.526	0.37	0.569	0.323	1.294	1.41	-1.545	-1.714	0.314	0.724	0.077	-0.018	-0.941	-1.002	-0.575	-0.566	-0.078	-0.096	-0.411	-0.497
DNAJA1	0.007	-0.09	-1.106	-1.229	0.248	0.153	-0.927	-1.101	1.369	1.256	-1.055	-1.034	1.19	1.172	-1.656	-1.623	1.315	1.356	-0.292	-0.461	1.597	1.627	-0.663	-0.615	0.35	0.437	-0.069	-0.098	0.908	0.819	-0.881	-0.906
DNAJC13	1.206	0.687	-0.45	-0.941	0.491	0.345	-0.448	-0.957	2.143	1.871	0.904	0.697	0.76	0.841	0.335	0.374	1.457	1.417	-0.414	-0.302	0.181	0.405	-0.803	-0.977	-1.053	-0.993	-1.063	-0.69	-1.048	-0.938	-1.303	-1.734
DNPEP	0.982	0.767	-0.528	-0.712	0.256	0.176	-0.727	-1.283	1.613	1.529	-0.102	-0.358	1.194	1.288	-1.18	-0.93	1.576	1.581	-0.31	-0.425	1.523	1.454	-0.571	-0.866	-0.387	-0.359	-0.654	-0.546	-0.41	-0.563	-1.767	-1.26
DOCK10	0.934	0.695	-0.437	-0.893	-0.144	-0.018	-0.714	-0.805	1.083	0.899	0.054	0.13	1.131	1.056	-0.051	-0.324	1.4	1.516	-0.345	-0.938	1.471	1.409	0.785	0.841	-0.525	-0.637	-0.28	-0.313	-1.507	-1.543	-1.916	-2.016
DPF3	-0.988	-0.845	-0.607	-0.397	-0.348	-0.111	0.23	0.062	-0.731	-0.212	0.949	0.747	0.382	0.07	0.458	0.497	0.569	0.432	0.15	-0.188	0.748	0.72	0.728	0.833	1.322	1.418	1.102	1.147	-1.65	-1.413	-2.227	-2.847
DSP	1.011	0.918	-0.531	-0.451	0.402	0.043	-1.578	-0.86	-0.223	-0.513	-1.242	-1.319	1.177	1.122	-1.443	-1.113	1.971	1.939	1.121	0.915	0.851	0.703	-1.107	-0.864	-0.474	-0.252	-0.66	-0.545	1.227	0.802	-0.336	-0.695
DTX3L	1.126	1.161	-0.423	-0.496	0.9	0.939	-0.507	-0.649	1.349	1.372	-0.237	-0.293	1.08	1.074	-0.592	-0.707	1.286	1.281	-0.519	-0.524	0.998	0.997	-0.81	-0.731	-0.083	0.032	-1.059	-0.961	-0.18	-0.265	-2.345	-2.213
DUSP22	1.582	1.356	0.651	0.576	0.301	0.492	-1.195	-0.616	1.686	1.775	0.164	0.321	1.009	1.403	-0.571	-0.3	1.051	1.336	0.315	-0.451	-0.068	-0.062	-1.287	-1.094	-0.703	-1.17	-1.307	-0.817	-0.817	-1.024	-1.307	-1.231
DYNLT1	0.469	0.547	-1.031	-1.779	0.07	-0.347	-1.051	-0.918	0.514	0.435	-0.92	-0.967	0.673	0.755	-0.222	-0.518	1.451	1.534	-0.647	-0.855	1.904	1.904	0.6	0.557	1.06	0.731	0.426	0.467	-0.896	-1.182	-1.371	-1.394
EFR3A	0.973	1.008	-0.223	-0.343	0.74	0.729	-0.169	-0.202	1.675	1.483	0.544	0.489	0.935	0.852	-0.487	-0.826	1.745	1.839	0.087	0.029	0.36	0.436	-1.0	-1.106	-1.172	-1.161	-0.865	-1.21	-1.135	-1.195	-1.308	-1.525
EHD4	0.988	1.055	-0.582	-0.372	0.675	0.577	-0.587	-0.565	1.551	1.534	-0.29	-0.26	1.134	1.208	-0.997	-1.103	1.717	1.694	-0.142	-0.125	1.144	1.169	-0.954	-1.037	-0.706	-0.781	-0.757	-0.799	-0.882	-0.728	-1.627	-1.153
EIF2AK2	1.197	1.16	-0.714	-0.754	0.586	0.605	-1.041	-0.965	1.616	1.646	-0.636	-0.581	1.284	1.249	-0.422	-0.31	1.09	1.073	-0.803	-0.85	1.476	1.461	-0.97	-1.036	-0.288	-0.352	-0.901	-0.909	-0.027	-0.058	-1.419	-1.405
EIF2AK3	0.686	0.33	2.347	1.574	-0.278	-1.056	1.169	1.41	0.363	-0.333	1.36	1.404	-0.245	0.325	-0.409	0.095	-0.426	0.226	0.939	0.686	-0.3	-0.464	-0.174	-0.481	-0.519	-1.051	-0.223	-0.694	-0.897	-1.659	-1.851	-1.856
ELF1	1.245	1.13	-0.29	-0.487	0.26	0.45	-1.003	-0.953	1.288	1.167	0.325	0.187	0.849	1.025	-0.375	-0.431	1.633	1.781	-0.282	-0.032	1.053	1.068	-0.411	-0.463	-0.539	-0.409	-0.515	-0.394	-1.462	-1.736	-2.011	-1.669
ELMO2	1.695	1.244	-0.179	-0.635	1.301	0.748	-0.983	-0.927	2.023	1.782	-0.061	-0.681	0.538	0.773	-0.589	0.405	1.147	1.721	0.108	0.282	-0.497	-0.599	-1.321	-1.541	-0.84	-0.942	-0.476	-0.609	-0.159	-1.152	-0.62	-0.953
ENDOD1	0.885	0.897	0.063	0.301	0.642	0.882	0.095	0.168	2.03	2.069	0.417	0.524	0.72	0.681	-0.89	-0.637	-0.371	-0.216	-0.893	-0.658	0.515	0.594	-1.398	-1.278	-1.788	-1.811	-1.442	-1.74	0.565	0.664	0.14	0.268
ENDOV	-0.351	-0.677	0.369	0.224	-1.121	-0.741	0.064	0.351	-1.227	-1.174	0.337	0.022	-0.039	-0.351	0.309	0.518	-0.989	-0.273	0.284	-0.645	-1.032	-0.567	-0.088	-0.003	-1.266	-0.085	-0.514	-0.39	2.519	1.795	2.249	2.494
EPHA7	2.209	2.196	0.547	0.393	1.32	1.233	-0.436	-0.415	0.417	0.318	-1.683	-1.691	0.875	0.77	-0.843	-0.859	0.878	0.904	0.538	0.625	0.37	0.409	-0.794	-0.78	-0.657	-0.6	-0.634	-0.548	-0.933	-1.022	-1.017	-1.09
EPSTI1	1.224	1.18	-0.66	-0.494	1.11	1.11	-0.65	-0.544	1.403	1.398	-0.285	-0.364	1.043	1.061	-0.749	-1.242	1.478	1.437	-0.617	-0.558	0.859	0.892	-1.029	-1.416	-0.471	-0.685	-1.033	-1.105	0.25	0.298	-1.215	-1.626
EPT1	1.171	1.354	-0.91	-0.19	1.344	1.442	-0.057	0.15	1.551	1.96	-0.432	-0.555	0.885	1.023	0.205	-0.506	0.643	0.781	-0.678	-0.94	0.392	0.929	-0.565	-0.52	-1.448	-1.482	-1.068	-1.872	-0.885	-0.269	-1.132	-0.323
ERAP1	1.255	1.272	0.107	-0.109	0.407	0.26	-0.494	-0.463	1.107	1.143	0.377	0.335	1.301	1.226	-0.529	-0.517	1.872	1.961	0.243	0.466	0.187	0.27	-1.282	-1.356	-1.048	-1.043	-1.169	-1.244	-0.969	-1.273	-0.967	-1.325
ETAA1	0.432	-1.058	1.698	0.622	-0.868	-1.423	1.025	0.622	-0.804	-0.301	0.872	-0.478	0.428	1.177	-0.191	-0.296	-0.563	0.047	-0.542	-0.487	-0.059	-0.174	0.402	-0.051	2.011	1.554	1.448	0.821	-1.384	-2.265	-1.025	-1.19
ETV6	0.875	1.032	-1.153	-0.808	0.66	0.402	-0.49	-0.286	1.199	1.344	-0.186	0.226	0.788	0.859	0.221	0.148	0.975	1.531	-0.59	-0.949	1.081	1.471	-0.497	-0.284	-0.248	-0.021	-0.222	-0.106	-1.123	-1.05	-2.01	-2.789
ETV7	0.889	1.167	-0.532	-1.332	0.98	1.015	-1.332	-0.853	1.331	1.196	-0.598	-0.585	0.933	1.023	-0.815	-0.564	1.467	1.541	-0.685	-0.692	1.327	1.235	-0.729	-1.332	-0.585	-0.841	-1.332	-0.472	0.474	0.457	-0.426	-1.332
EXOC3L1	1.104	1.044	-0.325	-0.448	0.469	0.551	-0.163	-0.719	1.449	1.663	-0.075	-0.016	0.917	1.207	-2.165	-0.817	1.798	1.232	-0.269	-0.434	0.945	1.049	-0.811	-0.731	-1.619	-1.717	-0.692	-0.863	-0.624	-0.595	-0.211	-0.133
FAM102A	-1.278	-2.125	0.868	0.66	-1.563	-0.837	-0.538	-0.532	-0.786	-0.278	1.878	1.715	0.596	0.877	1.225	1.546	-1.212	-1.154	1.189	0.741	-0.29	-0.671	0.252	0.929	0.221	0.775	0.055	-0.03	-1.191	-0.432	-0.078	-0.535
FAM111A	1.034	1.164	-0.352	-0.401	0.565	0.526	-0.751	-0.702	1.193	1.26	0.072	0.176	1.19	1.128	-0.444	-0.624	1.499	1.448	-0.44	-0.318	1.102	1.181	-0.197	-0.312	-0.672	-0.639	-0.681	-0.66	-0.858	-0.904	-2.054	-2.529
FAM124A	0.486	1.698	-0.98	-0.353	0.937	0.667	0.623	-0.282	0.246	0.725	-1.439	-1.028	0.787	0.632	-0.238	0.272	1.104	1.608	0.409	0.312	1.146	1.087	-0.176	-0.474	-0.176	-0.437	-0.381	-0.545	-1.887	-3.04	-0.593	-0.71
FAM173B	-1.287	-0.259	0.874	0.584	-0.224	-0.718	0.545	0.096	-1.901	0.58	0.491	1.212	0.58	0.21	0.987	0.421	0.118	-0.339	-0.396	0.417	0.09	0.149	0.878	1.212	0.597	0.806	1.02	0.593	-1.385	-3.194	-1.206	-1.552
FAM26E	0.742	0.692	-0.164	0.122	1.009	0.954	-0.862	-0.508	0.511	0.577	-0.121	-0.2	0.399	0.399	-0.013	0.014	1.323	1.409	0.393	0.505	0.867	0.824	-0.047	-0.076	0.016	0.063	0.011	-0.07	-1.495	-1.427	-2.709	-3.135
FAM46A	1.096	1.128	0.217	0.188	0.553	0.445	0.05	0.116	0.864	0.891	-0.424	-0.263	0.808	0.807	-0.013	-0.096	1.513	1.466	0.306	0.333	0.824	0.832	-0.127	-0.054	-0.986	-1.072	-0.838	-0.968	-1.32	-1.262	-2.761	-2.251
FAM72B	-0.324	1.431	-1.118	-0.5	0.551	-0.494	-3.077	-1.492	1.598	1.073	-0.464	-0.344	0.557	0.758	0.42	-0.83	0.829	0.376	0.964	0.477	0.857	1.417	0.088	-0.964	-0.932	1.418	-0.185	-0.825	-0.795	-0.098	-0.603	0.231
FAM86C1	-0.859	-1.99	-0.334	1.301	-1.804	0.155	0.86	1.614	-0.754	-0.768	0.753	0.575	-0.7	-0.551	-0.907	-0.579	-0.791	0.09	0.575	1.013	-0.895	-0.257	-0.627	-0.277	0.889	1.987	1.673	0.815	-0.675	1.36	-1.008	0.115
FAS	0.62	0.633	0.049	0.033	0.396	0.298	-0.017	-0.209	0.933	0.992	0.466	0.548	0.747	0.83	-0.285	-0.418	1.105	1.094	0.243	0.266	0.548	0.509	-0.148	-0.082	-0.047	0.042	-0.076	0.06	-1.481	-1.657	-3.706	-2.286
FAT4	2.019	2.077	-0.5	-0.431	0.065	0.247	-1.78	-1.429	0.746	0.906	0.262	0.151	0.987	0.987	-0.5	-0.534	0.861	0.767	-0.785	-0.746	0.482	0.562	1.041	1.144	-0.41	-0.425	0.016	-0.134	-1.707	-1.491	-1.165	-1.283
FBXL7	0.822	0.856	-0.033	0.082	0.284	0.295	-0.917	-0.442	0.778	0.865	0.278	0.206	0.735	0.673	0.294	0.499	0.989	1.047	-0.117	-0.057	0.473	0.577	0.003	-0.082	0.271	0.377	0.355	0.274	-1.642	-1.838	-2.985	-2.919
FBXO6	0.305	-0.565	-0.602	-0.774	1.224	1.225	-0.527	-0.071	1.578	1.569	-0.563	-0.31	0.76	0.66	-0.667	-1.031	1.656	1.753	0.233	0.309	-0.225	-0.278	-1.708	-1.152	-0.851	-1.284	-1.61	-1.538	0.389	1.039	0.593	0.461
FBXO7	0.526	0.573	-0.607	-0.224	0.392	-0.125	-0.872	-0.625	1.66	1.412	0.169	0.197	1.083	1.235	-0.649	-0.933	2.156	1.879	-0.239	-0.426	1.189	0.916	-0.965	-0.596	-0.316	-0.409	-0.965	-0.366	-0.851	-0.628	-1.829	-1.761
FGR	1.286	1.279	-0.159	-0.409	1.102	-1.27	-0.402	-1.27	2.057	-1.27	-0.657	-0.494	1.038	1.446	-0.206	-0.616	1.564	0.513	0.387	-0.421	1.238	1.305	-0.685	-0.692	-0.641	-0.261	-0.691	-1.27	0.877	-1.27	-0.138	-1.27
FMR1	1.355	1.199	-0.912	-0.758	-0.349	-0.287	-1.928	-1.461	1.439	1.484	-0.643	-0.687	1.046	1.201	0.881	0.886	1.064	1.008	-1.236	-1.261	1.348	1.219	-0.716	-0.645	0.071	0.129	-0.282	-0.376	-0.367	-0.509	-1.099	-0.816
FOXF1	0.949	0.762	0.393	-0.37	0.604	0.77	0.205	0.043	0.518	0.458	-0.74	-0.661	1.194	0.991	0.28	-0.177	1.673	1.396	0.595	0.412	1.146	1.147	-0.315	-0.052	-1.93	-1.282	-0.999	-1.327	-1.93	-0.978	-1.93	-0.848
FST	0.352	0.394	-0.1	-0.139	0.064	-0.114	-0.536	-0.65	0.65	0.675	0.193	0.219	0.943	0.978	-0.135	-0.126	1.216	1.2	0.314	0.322	0.699	0.747	0.244	0.268	0.195	0.084	0.33	0.343	-1.098	-1.057	-2.868	-3.606
FYB	0.81	0.521	-0.386	-1.254	0.84	1.022	0.844	-1.254	1.436	1.522	0.194	-0.054	1.862	1.665	-1.254	-1.254	0.437	0.424	-1.254	-0.226	0.772	1.154	-0.797	-0.123	-0.455	-1.254	-0.509	-1.254	0.423	-0.095	-1.254	-1.254
FYTTD1	0.875	0.888	-0.183	-0.173	0.554	0.572	-0.105	-0.4	1.696	1.68	0.23	0.052	0.988	1.15	-1.793	-1.775	1.547	1.649	-0.228	-0.309	0.549	0.839	-1.38	-1.263	-1.108	-1.02	-0.962	-1.074	0.094	-0.17	-0.646	-0.771
GADD45B	0.99	0.953	-0.304	-0.209	0.681	0.834	-0.291	-0.541	1.019	1.249	0.345	0.378	0.851	0.795	-2.112	-1.757	1.8	1.732	0.258	0.451	0.521	0.58	-0.902	-0.533	-0.145	-0.48	-0.297	-0.395	-0.902	-1.202	-1.824	-1.542
GAL3ST4	1.65	1.153	-0.247	0.028	0.042	-0.483	-1.7	-2.19	0.673	1.078	-0.917	-1.596	0.164	0.714	0.542	0.54	0.8	0.917	-0.892	-0.953	1.089	0.732	-0.067	0.3	1.073	0.594	0.725	0.022	-1.625	-2.012	-0.311	0.155
GAREM	0.839	1.288	-0.693	-0.558	0.565	0.86	0.341	-0.144	1.42	1.574	0.347	0.497	1.136	1.362	0.612	0.783	0.668	0.833	-1.371	-0.96	0.582	0.739	-0.764	-0.704	-0.886	-0.618	-0.95	-0.655	-2.3	-1.432	-1.255	-1.155
